epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3329,1.42616,2.23906,1.22718,0.71858,0.63521,0.71784,0.40857,1.38168,1.67262,1.02181,0.000664537,0.000664537,0.000664537
2,63.1726,1.54689,1.59118,1.32441,0.70157,0.55921,0.63407,0.35463,1.55956,1.42476,1.1264,0.00130485,0.00130485,0.00130485
3,93.0903,1.52556,1.4401,1.30867,0.79703,0.69601,0.76409,0.4302,1.40264,1.28297,1.05019,0.00191875,0.00191875,0.00191875
4,120.011,1.51953,1.3825,1.31312,0.65652,0.67764,0.67854,0.39224,1.36359,1.38633,1.04194,0.0018812,0.0018812,0.0018812
5,151.995,1.44618,1.28325,1.26939,0.82337,0.68492,0.77696,0.46936,1.33348,1.01795,1.01539,0.0018416,0.0018416,0.0018416
6,182.328,1.41128,1.24375,1.2574,0.84694,0.70994,0.79559,0.46918,1.34463,1.0009,1.01016,0.001802,0.001802,0.001802
7,210.512,1.3762,1.1652,1.22818,0.86089,0.75617,0.83462,0.52901,1.21733,0.91486,0.97209,0.0017624,0.0017624,0.0017624
8,237.949,1.3741,1.14441,1.21372,0.82895,0.74581,0.79984,0.50306,1.18001,1.00908,0.96948,0.0017228,0.0017228,0.0017228
9,268.644,1.31888,1.10255,1.20707,0.83263,0.73095,0.80966,0.51768,1.21007,0.90401,0.97011,0.0016832,0.0016832,0.0016832
10,301.966,1.3103,1.06936,1.19106,0.87201,0.75617,0.84922,0.54985,1.15617,0.88255,0.9509,0.0016436,0.0016436,0.0016436
11,333.69,1.29299,1.05756,1.18244,0.87331,0.78531,0.86835,0.57511,1.13042,0.79524,0.93766,0.001604,0.001604,0.001604
12,386.884,1.27908,1.03027,1.17752,0.87559,0.81761,0.88758,0.57427,1.13397,0.7609,0.9392,0.0015644,0.0015644,0.0015644
13,415.865,1.25823,1.00146,1.16993,0.88313,0.78024,0.87664,0.58828,1.10484,0.75706,0.93186,0.0015248,0.0015248,0.0015248
14,447.873,1.25701,1.00295,1.17049,0.89287,0.78784,0.87434,0.55671,1.13596,0.80991,0.93934,0.0014852,0.0014852,0.0014852
15,478.668,1.24707,0.98268,1.15753,0.87822,0.81296,0.88618,0.56589,1.17192,0.78758,0.94317,0.0014456,0.0014456,0.0014456
16,505.823,1.2323,0.96377,1.1507,0.84126,0.80811,0.87267,0.59314,1.08411,0.74883,0.91866,0.001406,0.001406,0.001406
17,541.435,1.22464,0.92853,1.14568,0.91788,0.80241,0.89121,0.59188,1.09649,0.73035,0.91977,0.0013664,0.0013664,0.0013664
18,574.385,1.2079,0.93436,1.14217,0.87308,0.80811,0.88722,0.60527,1.07104,0.73658,0.92279,0.0013268,0.0013268,0.0013268
19,605.835,1.20932,0.91733,1.13499,0.90232,0.82521,0.90208,0.59349,1.08663,0.72981,0.92168,0.0012872,0.0012872,0.0012872
20,640.12,1.18613,0.90113,1.13773,0.88975,0.8229,0.89226,0.60594,1.06913,0.68765,0.91587,0.0012476,0.0012476,0.0012476
21,672.986,1.20287,0.90873,1.14102,0.90753,0.85152,0.91348,0.61322,1.07155,0.68795,0.91801,0.001208,0.001208,0.001208
22,703.054,1.18437,0.90313,1.12889,0.91106,0.82077,0.90176,0.61515,1.02729,0.68373,0.90558,0.0011684,0.0011684,0.0011684
23,735.458,1.17637,0.88081,1.12125,0.91494,0.82901,0.91037,0.62179,1.04873,0.67259,0.90938,0.0011288,0.0011288,0.0011288
24,762.903,1.15134,0.85926,1.11395,0.92047,0.82826,0.9095,0.62444,1.04025,0.6651,0.90918,0.0010892,0.0010892,0.0010892
25,793.779,1.16524,0.86526,1.12147,0.88543,0.84187,0.89475,0.61814,1.04221,0.67986,0.9094,0.0010496,0.0010496,0.0010496
26,827.441,1.14409,0.8333,1.10704,0.88169,0.84958,0.91084,0.63424,0.99956,0.68302,0.89626,0.00101,0.00101,0.00101
27,858.991,1.15038,0.84151,1.10879,0.90901,0.83516,0.91029,0.62828,1.01529,0.65726,0.90093,0.0009704,0.0009704,0.0009704
28,890.652,1.1455,0.82326,1.09929,0.89807,0.83698,0.90446,0.6306,1.01454,0.65374,0.90195,0.0009308,0.0009308,0.0009308
29,926.71,1.1251,0.82011,1.09694,0.92814,0.8518,0.91999,0.6396,1.00224,0.61443,0.89138,0.0008912,0.0008912,0.0008912
30,960.325,1.12457,0.80892,1.09023,0.91689,0.84539,0.91898,0.64011,1.00068,0.6373,0.89621,0.0008516,0.0008516,0.0008516
31,989.028,1.11613,0.80466,1.08822,0.92975,0.84654,0.92051,0.6372,0.99642,0.63229,0.88945,0.000812,0.000812,0.000812
32,1015.59,1.11679,0.80413,1.0923,0.927,0.84737,0.92014,0.64651,0.99863,0.61294,0.8862,0.0007724,0.0007724,0.0007724
33,1047.06,1.09222,0.76858,1.08407,0.9082,0.84801,0.91377,0.6379,1.00448,0.62686,0.89472,0.0007328,0.0007328,0.0007328
34,1074.07,1.10272,0.77308,1.08526,0.92759,0.8613,0.92447,0.6535,0.96337,0.59599,0.88612,0.0006932,0.0006932,0.0006932
35,1105.68,1.09218,0.7722,1.07354,0.90414,0.86827,0.92556,0.65317,0.96723,0.59135,0.88263,0.0006536,0.0006536,0.0006536
36,1137.64,1.08148,0.76019,1.07721,0.9104,0.87587,0.93202,0.65906,0.96923,0.58679,0.88663,0.000614,0.000614,0.000614
37,1168.51,1.0717,0.73842,1.06487,0.93437,0.86954,0.93208,0.6578,0.97128,0.57772,0.88283,0.0005744,0.0005744,0.0005744
38,1198.42,1.06656,0.73987,1.06936,0.92829,0.8594,0.92863,0.66175,0.95781,0.57353,0.87548,0.0005348,0.0005348,0.0005348
39,1227.77,1.05897,0.72521,1.05462,0.93807,0.8613,0.93477,0.66782,0.95175,0.57501,0.87669,0.0004952,0.0004952,0.0004952
