epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5635,1.41705,1.61912,1.25658,0.65837,0.54465,0.5715,0.33608,nan,nan,nan,0.000664537,0.000664537,0.000664537
2,66.1113,1.59021,1.49088,1.39279,0.5743,0.44712,0.45856,0.26268,nan,nan,nan,0.00130485,0.00130485,0.00130485
3,99.7439,1.58388,1.47767,1.39013,0.67964,0.56998,0.60422,0.3179,1.62772,1.92377,1.20356,0.00191875,0.00191875,0.00191875
4,134.174,1.52234,1.36798,1.35413,0.7025,0.65801,0.70256,0.41467,1.34173,1.34167,1.07377,0.0018812,0.0018812,0.0018812
5,164.9,1.43623,1.29144,1.30516,0.83758,0.72505,0.80441,0.48877,1.30594,0.96501,1.01008,0.0018416,0.0018416,0.0018416
6,195.329,1.40723,1.24864,1.29349,0.81287,0.71944,0.78652,0.44977,1.41377,1.07543,1.04688,0.001802,0.001802,0.001802
7,227.185,1.37195,1.18024,1.26663,0.79395,0.73208,0.79657,0.50385,1.20436,1.05171,0.9921,0.0017624,0.0017624,0.0017624
8,263.819,1.35598,1.13515,1.24989,0.77182,0.76475,0.80955,0.52514,1.17035,0.98136,0.98779,0.0017228,0.0017228,0.0017228
9,299.266,1.31138,1.09657,1.24047,0.82919,0.7932,0.85166,0.56589,1.11547,0.84284,0.95949,0.0016832,0.0016832,0.0016832
10,334.152,1.29046,1.06508,1.22154,0.77624,0.72723,0.78828,0.52687,1.14526,0.9753,0.97751,0.0016436,0.0016436,0.0016436
11,368.126,1.27333,1.05724,1.20614,0.80508,0.73718,0.81167,0.53202,1.15915,0.87523,0.96774,0.001604,0.001604,0.001604
12,400.147,1.26126,1.02296,1.20394,0.84263,0.8003,0.86327,0.57862,1.08657,0.77948,0.94355,0.0015644,0.0015644,0.0015644
13,435.08,1.23023,0.98803,1.18365,0.86487,0.79449,0.87049,0.60851,1.03587,0.79121,0.92812,0.0015248,0.0015248,0.0015248
14,470.251,1.22796,0.98604,1.18661,0.87547,0.82369,0.88524,0.58091,1.12201,0.77652,0.93731,0.0014852,0.0014852,0.0014852
15,504.533,1.2353,0.96466,1.1804,0.89185,0.81634,0.8913,0.59917,1.08977,0.71459,0.93385,0.0014456,0.0014456,0.0014456
16,537.509,1.2003,0.95004,1.16356,0.86432,0.83407,0.88259,0.60785,1.02989,0.73245,0.91933,0.001406,0.001406,0.001406
17,570.894,1.19695,0.9254,1.16363,0.88021,0.81634,0.88472,0.58482,1.13844,0.74362,0.94286,0.0013664,0.0013664,0.0013664
18,601.852,1.18674,0.90777,1.1551,0.82695,0.81634,0.8752,0.59368,1.08897,0.78163,0.92875,0.0013268,0.0013268,0.0013268
19,630.438,1.18726,0.91033,1.14644,0.86072,0.83154,0.8929,0.61834,0.99935,0.75544,0.91077,0.0012872,0.0012872,0.0012872
20,658.687,1.1564,0.88944,1.14908,0.90607,0.84864,0.91224,0.6475,0.99647,0.67093,0.91052,0.0012476,0.0012476,0.0012476
21,688.773,1.17432,0.88992,1.15456,0.88504,0.83787,0.90435,0.63804,0.98696,0.66443,0.90855,0.001208,0.001208,0.001208
22,721.325,1.15279,0.86698,1.139,0.91169,0.84343,0.91009,0.63202,1.00071,0.65842,0.90894,0.0011684,0.0011684,0.0011684
23,751.935,1.13845,0.85647,1.12794,0.91814,0.84523,0.92112,0.65186,0.98372,0.62534,0.8983,0.0011288,0.0011288,0.0011288
24,782.195,1.11767,0.84095,1.1202,0.93062,0.84942,0.92349,0.6566,0.96526,0.6198,0.90196,0.0010892,0.0010892,0.0010892
25,814.265,1.12344,0.83637,1.12194,0.88453,0.85307,0.91253,0.64973,0.96643,0.65279,0.89727,0.0010496,0.0010496,0.0010496
26,848.364,1.10335,0.79699,1.10817,0.89132,0.86218,0.91759,0.66358,0.93488,0.63704,0.89373,0.00101,0.00101,0.00101
27,878.638,1.10844,0.81618,1.11443,0.91403,0.86447,0.92026,0.66097,0.93527,0.6219,0.89296,0.0009704,0.0009704,0.0009704
28,910.052,1.09211,0.79034,1.09595,0.91444,0.86574,0.92577,0.65934,0.95018,0.59452,0.88454,0.0009308,0.0009308,0.0009308
29,944.114,1.08665,0.78654,1.10147,0.90788,0.85814,0.92129,0.65518,0.95763,0.60892,0.8906,0.0008912,0.0008912,0.0008912
30,971.355,1.08408,0.77248,1.09817,0.88711,0.87334,0.92008,0.65476,0.94842,0.61492,0.88745,0.0008516,0.0008516,0.0008516
31,1004.19,1.07048,0.77423,1.09217,0.89541,0.87777,0.92635,0.66661,0.93619,0.59656,0.88693,0.000812,0.000812,0.000812
32,1035.71,1.07763,0.76963,1.09381,0.93271,0.87782,0.93211,0.67265,0.9459,0.57875,0.88369,0.0007724,0.0007724,0.0007724
33,1067.43,1.05509,0.74292,1.08444,0.93313,0.86067,0.93154,0.66922,0.9347,0.57909,0.88298,0.0007328,0.0007328,0.0007328
34,1095.82,1.06061,0.74765,1.08582,0.91166,0.87777,0.93272,0.67347,0.90905,0.57622,0.87955,0.0006932,0.0006932,0.0006932
35,1128.65,1.04236,0.73787,1.0695,0.9357,0.8689,0.93358,0.68226,0.91164,0.55729,0.87708,0.0006536,0.0006536,0.0006536
36,1159.94,1.03791,0.72644,1.07472,0.9335,0.87777,0.9383,0.68589,0.8958,0.55335,0.87084,0.000614,0.000614,0.000614
37,1193.93,1.0314,0.70594,1.06817,0.94131,0.87353,0.93859,0.68741,0.90086,0.53377,0.87543,0.0005744,0.0005744,0.0005744
38,1226.51,1.02369,0.70213,1.06986,0.93209,0.87788,0.93856,0.69071,0.88599,0.5361,0.87062,0.0005348,0.0005348,0.0005348
39,1262.19,1.01464,0.68828,1.05063,0.93111,0.88161,0.93926,0.686,0.90072,0.54361,0.87894,0.0004952,0.0004952,0.0004952
40,1292.61,1.01474,0.69304,1.06436,0.93409,0.88157,0.93686,0.69126,0.88484,0.52972,0.8732,0.0004556,0.0004556,0.0004556
41,1329.67,0.96255,0.58478,1.03491,0.92118,0.87777,0.93551,0.6855,0.89586,0.54278,0.87279,0.000416,0.000416,0.000416
42,1362.85,0.958,0.56777,1.03511,0.94174,0.89066,0.9446,0.69498,0.89482,0.51045,0.87221,0.0003764,0.0003764,0.0003764
43,1399.13,0.95144,0.56172,1.03697,0.93827,0.88727,0.94599,0.69705,0.89468,0.50919,0.8755,0.0003368,0.0003368,0.0003368
44,1430.08,0.93979,0.54509,1.02366,0.93895,0.89804,0.94856,0.69123,0.91309,0.51307,0.87434,0.0002972,0.0002972,0.0002972
45,1462.64,0.92871,0.53919,1.02168,0.94953,0.88164,0.94764,0.69538,0.89629,0.51125,0.87457,0.0002576,0.0002576,0.0002576
46,1494.55,0.91557,0.52599,1.01606,0.93121,0.9002,0.94721,0.70214,0.87209,0.50002,0.86763,0.000218,0.000218,0.000218
47,1526.91,0.91241,0.52669,1.0131,0.93616,0.9012,0.9493,0.70163,0.87382,0.49655,0.86656,0.0001784,0.0001784,0.0001784
48,1554.15,0.90231,0.51326,1.00299,0.94471,0.89487,0.94986,0.70595,0.86679,0.49107,0.86719,0.0001388,0.0001388,0.0001388
49,1583.85,0.88909,0.50639,1.00613,0.94874,0.89091,0.94978,0.70749,0.85825,0.4833,0.86528,9.92e-05,9.92e-05,9.92e-05
50,1615.68,0.89485,0.50615,1.00117,0.95344,0.88537,0.95024,0.70794,0.8657,0.4887,0.86632,5.96e-05,5.96e-05,5.96e-05
