                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4377,                 2.2332,                 1.2635,                0.71783,                0.59771,                 0.6731,                0.38831,                 1.4153,                 1.4103,                 1.0713,              0.0006656,              0.0006656,              0.0006656
                      2,                 1.5254,                 1.5569,                 1.3348,                0.68149,                0.62065,                0.64658,                0.36065,                 1.4168,                 1.3359,                  1.067,              0.0013059,              0.0013059,              0.0013059
                      3,                 1.5083,                 1.4412,                 1.3263,                0.79562,                0.67258,                0.75516,                0.44331,                 1.3419,                 1.1543,                 1.0248,              0.0019198,              0.0019198,              0.0019198
                      4,                 1.4816,                 1.3446,                 1.3143,                0.72689,                0.65739,                0.72325,                0.43598,                  1.363,                 1.2124,                 1.0313,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4425,                 1.3096,                 1.2858,                0.84495,                0.69094,                0.80389,                0.47522,                 1.2597,                 1.0409,                 1.0063,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3875,                  1.214,                 1.2584,                0.83806,                0.68588,                0.78218,                0.48966,                  1.238,                 1.0942,                 1.0087,               0.001802,               0.001802,               0.001802
                      7,                 1.3493,                 1.1755,                   1.24,                0.81068,                0.75491,                0.81497,                0.51839,                 1.1901,                0.94612,                0.97822,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3427,                 1.1504,                 1.2385,                0.83786,                0.74941,                0.82153,                0.53712,                 1.1713,                 0.9012,                0.96781,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3389,                 1.1302,                 1.2312,                0.86009,                  0.767,                0.84675,                0.52631,                 1.2275,                0.90643,                0.97269,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3036,                 1.0813,                 1.2058,                0.84821,                0.75617,                 0.8243,                0.52995,                 1.1709,                0.88643,                 0.9628,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2992,                 1.0814,                 1.2123,                 0.8441,                0.76061,                0.83717,                0.53845,                 1.1858,                0.86723,                0.95451,               0.001604,               0.001604,               0.001604
                     12,                 1.2669,                 1.0404,                 1.1982,                0.85752,                0.75554,                0.83268,                0.53372,                 1.2008,                0.81266,                 0.9543,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2597,                 1.0232,                 1.1992,                 0.8508,                0.78004,                0.86068,                0.57351,                 1.1181,                0.78733,                0.94448,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2427,                0.99157,                  1.187,                0.84518,                0.76124,                0.84623,                 0.5607,                 1.1337,                0.81704,                0.94398,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2394,                 1.0047,                 1.1836,                0.83873,                0.79924,                0.86352,                0.57448,                   1.11,                0.81059,                0.94707,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2211,                0.97753,                 1.1701,                0.87677,                0.79756,                0.87906,                0.58987,                 1.0963,                0.75133,                0.93032,               0.001406,               0.001406,               0.001406
                     17,                 1.2123,                0.96694,                 1.1596,                0.89066,                0.78413,                0.88058,                0.59615,                 1.0552,                0.74334,                0.92164,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2023,                0.94213,                 1.1613,                0.89315,                0.80367,                0.88411,                0.59666,                 1.0762,                0.71034,                0.92204,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2056,                0.94107,                 1.1561,                0.88303,                0.79362,                 0.8889,                0.60789,                 1.0611,                0.72689,                0.92135,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.174,                0.90949,                 1.1439,                 0.8962,                0.77961,                0.87601,                0.60044,                  1.063,                0.73373,                0.91584,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1865,                0.91915,                 1.1465,                0.87228,                0.80015,                0.87778,                0.60004,                 1.0535,                 0.7414,                0.92835,               0.001208,               0.001208,               0.001208
                     22,                 1.1782,                 0.9086,                 1.1402,                0.89686,                0.80954,                0.89436,                0.61932,                 1.0167,                0.68677,                0.90795,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1629,                 0.8749,                 1.1305,                0.90426,                0.81352,                0.90352,                0.61381,                 1.0571,                0.67541,                0.91544,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1624,                0.85483,                 1.1309,                0.91427,                0.78347,                0.89172,                0.61052,                 1.0485,                0.69952,                0.91402,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1438,                0.85851,                 1.1231,                0.90488,                0.81337,                0.89942,                 0.6142,                 1.0604,                0.66122,                0.90787,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1374,                0.84567,                 1.1183,                0.90331,                0.81653,                0.90102,                0.61995,                 1.0466,                0.68256,                0.91645,                0.00101,                0.00101,                0.00101
                     27,                 1.1302,                0.83899,                 1.1143,                0.90337,                0.83787,                0.91136,                0.62392,                 1.0242,                0.65064,                0.90297,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1326,                0.82769,                 1.1142,                0.92126,                0.82244,                0.90693,                0.63333,                 1.0004,                0.64782,                0.90314,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1195,                0.82377,                 1.1139,                0.90999,                0.83344,                0.91439,                0.63355,                 1.0005,                0.63766,                0.89725,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1124,                0.82174,                 1.1058,                0.90859,                0.82521,                0.90851,                0.62822,                 1.0287,                0.63942,                0.90303,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0962,                0.79933,                 1.1015,                0.91485,                0.83007,                0.91734,                0.63957,                0.99756,                0.62194,                0.89794,               0.000812,               0.000812,               0.000812
                     32,                  1.097,                0.78863,                 1.1001,                0.91856,                0.82858,                0.91436,                0.64677,                0.98152,                 0.6079,                0.89794,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0906,                0.78912,                 1.0983,                0.90704,                0.84041,                0.91561,                0.64659,                0.97894,                0.61846,                0.89836,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0872,                0.77491,                   1.09,                0.90954,                0.83154,                0.91183,                0.64724,                0.97471,                0.60475,                0.89286,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0708,                0.75877,                  1.088,                0.89561,                0.85624,                0.91804,                0.65375,                 0.9682,                0.60593,                0.89108,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0706,                0.76244,                 1.0816,                0.91765,                0.83851,                0.91866,                0.64013,                 1.0183,                0.59005,                0.89351,               0.000614,               0.000614,               0.000614
                     37,                 1.0601,                0.74157,                 1.0771,                0.91393,                0.84357,                0.91824,                0.65568,                0.96589,                0.58518,                0.89085,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.067,                0.74057,                  1.083,                0.90107,                0.84674,                0.91529,                0.65201,                0.97365,                 0.5894,                0.89402,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0608,                 0.7331,                 1.0726,                0.91361,                0.85062,                0.91852,                0.64947,                0.98368,                0.57739,                 0.8902,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.044,                0.72283,                 1.0737,                0.91865,                0.85105,                0.92511,                0.65382,                0.96937,                0.57484,                0.88979,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0004,                0.61225,                 1.0429,                0.91585,                0.84775,                0.92425,                0.65717,                0.96124,                0.56965,                0.88731,               0.000416,               0.000416,               0.000416
